,time,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null
1543,1614963600000.0,47679.89,48250.33,47350.0,48094.05,16387.898,1614967199999.0,784146989.15303,174445.0,8631.833,413177696.29519,0.0
1544,1614967200000.0,48094.05,48550.0,47922.57,48491.64,13416.581,1614970799999.0,648502144.18714,159302.0,6385.357,308708052.87792,0.0
1545,1614970800000.0,48491.64,49427.0,48325.29,49298.42,14774.119,1614974399999.0,722485652.46047,171569.0,8179.913,400110685.38231,0.0
1546,1614974400000.0,49298.42,49470.0,48855.0,49179.33,12990.618,1614977999999.0,638996083.32128,157710.0,6239.193,306982020.70146,0.0
1547,1614978000000.0,49179.33,49410.0,48914.88,49059.99,7827.467,1614981599999.0,384680649.42102,97322.0,3829.671,188251105.45684,0.0
1548,1614981600000.0,49059.99,49425.54,48711.01,49088.58,9298.726,1614985199999.0,456607067.07745,127448.0,4250.939,208772007.95999,0.0
1549,1614985200000.0,49088.58,49181.39,48622.0,48770.57,8199.447,1614988799999.0,400574852.99762,98972.0,4006.358,195749827.26602,0.0
1550,1614988800000.0,48772.68,49174.0,48689.0,48825.58,8229.714,1614992399999.0,402931298.69056,97419.0,4177.469,204555287.12416,0.0
1551,1614992400000.0,48825.58,48920.0,48526.87,48658.54,5941.7,1614995999999.0,289243668.05835,73611.0,3014.008,146746052.47294,0.0
1552,1614996000000.0,48658.55,48750.0,48213.0,48734.64,5445.521,1614999599999.0,264116655.56004,81692.0,2454.172,119071355.18565,0.0
1553,1614999600000.0,48734.64,48826.25,48435.0,48676.99,4921.444,1615003199999.0,239327667.82319,70570.0,2588.173,125876258.52416,0.0
1554,1615003200000.0,48676.99,48700.0,48115.0,48485.0,8713.679,1615006799999.0,421349228.75093,90818.0,4193.675,202830854.46513,0.0
1555,1615006800000.0,48485.0,48880.67,48220.61,48510.4,8368.455,1615010399999.0,406471913.15239,101696.0,4118.863,200114486.4535,0.0
1556,1615010400000.0,48510.4,48973.98,48510.39,48930.08,7327.964,1615013999999.0,357760872.38915,88573.0,3945.037,192602717.16954,0.0
1557,1615014000000.0,48930.08,49149.58,48776.0,48833.21,6790.3,1615017599999.0,332507044.69915,82042.0,3288.736,161079862.80382,0.0
1558,1615017600000.0,48833.2,49139.95,48626.04,48678.41,7638.876,1615021199999.0,373224407.57647,96414.0,3472.82,169729338.88229,0.0
1559,1615021200000.0,48678.41,48817.0,48301.43,48363.45,8844.698,1615024799999.0,429198139.95947,105289.0,4129.923,200442007.10282,0.0
1560,1615024800000.0,48363.46,48514.89,47933.0,48053.62,9205.712,1615028399999.0,444162944.09686,109204.0,3991.377,192704262.29902,0.0
1561,1615028400000.0,48053.63,48346.15,48006.0,48185.05,7145.4,1615031999999.0,344402261.80915,92324.0,3741.791,180379708.90039,0.0
1562,1615032000000.0,48182.34,48224.14,47435.0,47696.76,16839.351,1615035599999.0,803745283.72408,191512.0,7824.085,373511511.97655,0.0
1563,1615035600000.0,47696.75,47779.0,47090.0,47350.0,14351.295,1615039199999.0,679984248.45552,167497.0,6759.669,320335398.27666,0.0
1564,1615039200000.0,47350.0,47752.38,47220.02,47570.61,10836.347,1615042799999.0,514869049.95472,120848.0,5971.482,283773259.82651,0.0
1565,1615042800000.0,47570.62,47723.34,47255.0,47284.11,8395.584,1615046399999.0,399166508.92139,102730.0,3885.103,184784450.88925,0.0
1566,1615046400000.0,47282.01,47950.0,47138.01,47766.99,14784.991,1615049999999.0,704595046.74612,151009.0,7743.139,369084915.11649,0.0
1567,1615050000000.0,47766.99,48450.0,47660.0,48248.36,13394.514,1615053599999.0,644318002.10574,150008.0,7186.306,345715747.53646,0.0
1568,1615053600000.0,48248.36,48664.0,48120.0,48479.48,9034.176,1615057199999.0,437014102.35841,111233.0,4782.605,231382341.26704,0.0
1569,1615057200000.0,48479.48,48713.74,48255.15,48356.88,6584.179,1615060799999.0,319061584.99924,89477.0,3118.74,151151128.17059,0.0
1570,1615060800000.0,48361.33,48767.54,48253.25,48538.66,8101.054,1615064399999.0,392900295.68707,99012.0,3897.25,189056469.74504,0.0
1571,1615064400000.0,48538.66,48746.72,48291.5,48588.15,7821.461,1615067999999.0,379933475.58021,89385.0,3758.742,182591763.26553,0.0
1572,1615068000000.0,48589.77,49253.63,48463.0,48935.29,9955.724,1615071599999.0,487053513.33735,117439.0,5297.411,259214145.46562,0.0
1573,1615071600000.0,48936.34,49147.84,48819.03,48908.21,6420.771,1615075199999.0,314397139.86558,77261.0,3246.609,158983133.35926,0.0
1574,1615075200000.0,48908.21,49363.84,48908.21,49214.15,7902.382,1615078799999.0,388429415.15778,96174.0,4073.598,200247045.41526,0.0
1575,1615078800000.0,49214.14,49500.0,49015.67,49140.96,9194.822,1615082399999.0,452907075.07699,104749.0,4651.041,229165049.34853,0.0
1576,1615082400000.0,49140.95,49865.0,49070.0,49583.97,11316.912,1615085999999.0,560843721.52494,131354.0,6015.171,298083219.59266,0.0
1577,1615086000000.0,49583.96,49937.8,49460.0,49582.55,8375.701,1615089599999.0,416172009.01438,94068.0,4122.674,204872751.56265,0.0
1578,1615089600000.0,49582.55,49700.0,49330.0,49459.31,7778.143,1615093199999.0,385216666.3646,80369.0,3785.089,187482026.19145,0.0
1579,1615093200000.0,49459.32,49492.77,49130.0,49387.49,8047.649,1615096799999.0,396749109.78811,85325.0,3724.585,183643188.2449,0.0
1580,1615096800000.0,49387.5,49690.0,49189.47,49488.88,7405.432,1615100399999.0,366028964.20398,79989.0,3925.408,194051885.66877,0.0
1581,1615100400000.0,49489.3,50232.81,49342.07,50084.61,9768.134,1615103999999.0,486043779.34644,115360.0,5513.744,274499567.69553,0.0
1582,1615104000000.0,50084.61,50873.01,50082.48,50434.19,18534.381,1615107599999.0,936782360.93022,207044.0,9255.748,467841356.52509,0.0
1583,1615107600000.0,50429.99,51200.0,50426.15,50961.29,16035.963,1615111199999.0,815462462.13878,184291.0,8311.648,422662003.4135,0.0
1584,1615111200000.0,50961.29,51008.98,50510.0,50665.63,11074.6,1615114799999.0,561745547.95486,125136.0,5247.813,266199430.98482,0.0
1585,1615114800000.0,50665.63,50931.0,50532.17,50745.34,8355.974,1615118399999.0,423783847.62988,99756.0,4383.456,222337230.06476,0.0
1586,1615118400000.0,50745.73,50870.0,50445.0,50773.07,8946.244,1615121999999.0,453396225.31697,115650.0,4418.009,223947201.32188,0.0
1587,1615122000000.0,50773.07,50900.0,50550.0,50785.15,6413.884,1615125599999.0,325339521.10368,90506.0,3373.592,171142965.64653,0.0
1588,1615125600000.0,50785.14,51326.53,50162.23,50679.25,21698.513,1615129199999.0,1099488680.35183,235508.0,10763.89,545588038.26499,0.0
1589,1615129200000.0,50686.09,50872.61,50411.7,50618.66,8295.836,1615132799999.0,420061467.9841,103268.0,3808.522,192900338.10765,0.0
1590,1615132800000.0,50618.65,51400.0,50618.65,51072.46,14218.221,1615136399999.0,725237904.07312,166214.0,7367.797,375866497.73942,0.0
1591,1615136400000.0,51072.45,51164.17,50800.0,51115.59,7055.031,1615139999999.0,359778734.27904,86516.0,3411.253,173981188.9444,0.0
1592,1615140000000.0,51115.58,51128.82,50406.27,50454.84,8836.439,1615143599999.0,448154828.5998,101760.0,3760.469,190732595.50087,0.0
1593,1615143600000.0,50454.84,50620.39,50290.0,50414.38,8078.295,1615147199999.0,407589135.82923,94888.0,4047.694,204247090.41334,0.0
1594,1615147200000.0,50413.53,50413.53,49800.0,50063.79,12986.735,1615150799999.0,649218509.33658,143482.0,6288.917,314371039.33354,0.0
1595,1615150800000.0,50063.79,50302.95,49871.0,50100.0,6477.672,1615154399999.0,324454903.38776,79378.0,3349.449,167812570.98237,0.0
1596,1615154400000.0,50100.01,50800.0,50010.0,50524.33,8611.164,1615157999999.0,434528192.09331,111497.0,4770.799,240760847.64254,0.0
1597,1615158000000.0,50524.32,51480.0,50502.64,50995.27,12989.989,1615161599999.0,663027183.61405,150797.0,6925.891,353480914.5343,0.0
1598,1615161600000.0,50991.35,51742.81,50872.04,51510.0,16340.959,1615165199999.0,840577852.89656,170060.0,8247.002,424258686.59284,0.0
1599,1615165200000.0,51510.0,51870.36,51330.72,51586.0,9108.601,1615168799999.0,470153893.10781,111648.0,4855.08,250644938.28548,0.0
1600,1615168800000.0,51583.89,51610.55,50522.0,50757.1,15267.16,1615172399999.0,778127120.78683,159705.0,6919.85,352618235.27642,0.0
1601,1615172400000.0,50757.36,50823.3,50272.78,50625.98,12206.883,1615175999999.0,616731860.79678,127010.0,6412.865,324023097.26386,0.0
1602,1615176000000.0,50625.97,50630.0,50125.0,50441.14,8336.659,1615179599999.0,419939659.8003,98259.0,3947.594,198881093.91035,0.0
1603,1615179600000.0,50441.13,50813.0,50371.59,50766.3,8356.816,1615183199999.0,422804960.88753,87578.0,4660.606,235822170.58375,0.0
1604,1615183200000.0,50766.3,50930.0,50184.49,50302.33,12549.547,1615186799999.0,634091935.4276,132657.0,5563.633,281159558.07731,0.0
1605,1615186800000.0,50303.87,50450.0,49550.0,49783.97,18638.369,1615190399999.0,930237741.9243,191992.0,8654.696,431965043.56959,0.0
1606,1615190400000.0,49787.39,49939.6,49310.0,49906.96,14649.152,1615193999999.0,726948872.14638,164809.0,7578.58,376171762.91743,0.0
1607,1615194000000.0,49906.96,50138.85,49440.0,49928.0,14174.88,1615197599999.0,705436762.37587,145804.0,7200.734,358457196.22579,0.0
1608,1615197600000.0,49928.0,50300.0,49723.0,50094.92,12706.004,1615201199999.0,636024869.19125,130713.0,6542.76,327553850.59188,0.0
1609,1615201200000.0,50094.92,50609.4,49899.15,50529.08,13262.04,1615204799999.0,665942199.94036,131812.0,7204.441,361888793.24797,0.0
1610,1615204800000.0,50529.09,50580.0,50150.99,50320.83,11355.579,1615208399999.0,571550565.13989,119647.0,5543.592,279049586.61593,0.0
1611,1615208400000.0,50320.82,51117.08,50307.94,51016.21,20392.083,1615211999999.0,1035344560.89008,190424.0,10646.903,540735957.79231,0.0
1612,1615212000000.0,51016.21,51280.5,50158.98,50784.38,23151.158,1615215599999.0,1175572358.86375,234392.0,10989.172,558108286.0955,0.0
1613,1615215600000.0,50784.37,51250.0,50580.0,51082.65,14830.653,1615219199999.0,755965631.45854,154584.0,7648.363,389983706.51059,0.0
1614,1615219200000.0,51083.03,51200.0,50600.0,50718.99,11667.657,1615222799999.0,593379904.958,126483.0,5321.022,270685036.65101,0.0
1615,1615222800000.0,50718.99,50919.38,50670.48,50854.64,5834.66,1615226399999.0,296450673.80645,73805.0,2939.519,149360842.81569,0.0
1616,1615226400000.0,50854.64,51132.43,50797.4,50872.14,7161.398,1615229999999.0,364721551.9777,85425.0,3627.969,184783567.28611,0.0
1617,1615230000000.0,50872.14,51550.0,50847.06,51370.07,12157.073,1615233599999.0,623325049.47965,125201.0,6481.119,332233022.50428,0.0
1618,1615233600000.0,51372.12,52120.0,51301.0,51821.3,16569.262,1615237199999.0,856220823.27543,171449.0,9073.326,468882989.04449,0.0
1619,1615237200000.0,51821.67,51980.0,51563.01,51889.85,10160.645,1615240799999.0,525832882.82497,105301.0,5474.243,283325195.40718,0.0
1620,1615240800000.0,51889.86,51949.98,51334.71,51665.43,7839.979,1615244399999.0,405133224.55081,101242.0,3373.264,174318799.40946,0.0
1621,1615244400000.0,51665.43,52450.0,51665.43,52429.43,11622.649,1615247999999.0,605201382.08524,139581.0,6186.177,322179290.95322,0.0
1622,1615248000000.0,52429.43,52590.0,51880.0,52083.69,13096.673,1615251599999.0,684390346.37034,138798.0,6150.348,321525057.1128,0.0
1623,1615251600000.0,52083.68,53822.0,52046.52,53638.46,26904.412,1615255199999.0,1430706557.49836,294345.0,14565.82,774223028.2286,0.0
1624,1615255200000.0,53638.46,53860.0,53300.0,53636.97,13026.172,1615258799999.0,697869187.85219,144158.0,6268.51,335911906.78637,0.0
1625,1615258800000.0,53636.98,54188.49,53500.0,53877.22,14676.761,1615262399999.0,790498601.57486,162737.0,7388.5,398016981.09994,0.0
1626,1615262400000.0,53876.3,54108.0,53537.23,53736.29,10928.053,1615265999999.0,588270620.61519,127186.0,5244.199,282364129.23004,0.0
1627,1615266000000.0,53736.3,54483.65,53736.29,54285.64,12302.862,1615269599999.0,666647770.35365,136768.0,6414.477,347589448.272,0.0
1628,1615269600000.0,54285.64,54500.0,53780.01,53901.28,13066.44,1615273199999.0,707641036.44242,142306.0,5972.157,323529246.8832,0.0
1629,1615273200000.0,53902.58,53945.0,53444.0,53602.41,12278.865,1615276799999.0,659903947.32438,135161.0,5749.166,309041923.85043,0.0
1630,1615276800000.0,53602.41,54248.76,53322.85,54079.82,15925.749,1615280399999.0,858261791.10775,162949.0,8062.549,434601830.96754,0.0
